draw,entry,eci
1,Gemma 2 2B IT [Instruction-tuned (IT)],112.97606779255939
1,Gemma 2 2B [Pretrained (PT)],98.51138459949027
1,Gemma 2 9B IT [Instruction-tuned (IT)],118.89082602781151
1,Gemma 2 9B [Pretrained (PT)],110.61347405898849
1,Gemma 2B IT [Instruction-tuned (IT)],92.03879326586781
1,Gemma 2B [Pretrained (PT)],94.6412688955773
1,Gemma 3 12B IT [Instruction-tuned (IT)],127.08516377873134
1,Gemma 3 12B [Pretrained (PT)],117.73559358308509
1,Gemma 3 1B IT [Instruction-tuned (IT)],99.81567344227219
1,Gemma 3 1B [Pretrained (PT)],77.77364840404121
1,Gemma 3 27B IT [Instruction-tuned (IT)],128.99707714634155
1,Gemma 3 27B [Pretrained (PT)],117.90615161420214
1,Gemma 3 4B IT [Instruction-tuned (IT)],119.88932431650912
1,Gemma 3 4B [Pretrained (PT)],103.70263371038504
1,Gemma 3n E2B IT [Instruction-tuned (IT)],111.38876569626348
1,Gemma 3n E2B [Pretrained (PT)],99.61133594330502
1,Gemma 3n E4B IT [Instruction-tuned (IT)],119.01411274715561
1,Gemma 3n E4B [Pretrained (PT)],106.46708000918746
1,"Gemma 4 12B [IT, Thinking mode]",142.45278704336948
1,"Gemma 4 26B A4B [IT, Thinking mode]",145.71605432357376
1,"Gemma 4 31B [IT, Thinking mode]",147.44832640016145
1,"Gemma 4 E2B [IT, Thinking mode]",129.22441593048276
1,"Gemma 4 E4B [IT, Thinking mode]",134.71353486256834
1,Gemma 7B IT [Instruction-tuned (IT)],100.21203100385205
1,Gemma 7B [Pretrained (PT)],107.89140510246477
1,Llama-2-13b-chat-hf [Instruct/chat],103.02202736642047
1,Llama-2-13b-hf [Pretrained (PT)],105.87424526383897
1,Llama-2-7b-chat-hf [Instruct/chat],103.79663840447576
1,Llama-2-7b-hf [Pretrained (PT)],99.72086782761524
1,Llama-3.1-8B [Pretrained (PT)],113.86719154899842
1,Llama-3.1-8B-Instruct [Instruct/chat],117.05676875082312
1,Llama-3.2-1B [Pretrained (PT)],87.62367575942744
1,Llama-3.2-1B-Instruct [Instruct/chat],108.8729523297647
1,Llama-3.2-3B [Pretrained (PT)],95.98397775540036
1,Llama-3.2-3B-Instruct [Instruct/chat],118.6366532130423
1,Meta-Llama-3-8B [Pretrained (PT)],112.15869649920764
1,Meta-Llama-3-8B-Instruct [Instruct/chat],116.18924278838284
1,OLMo-1B-hf [Pretrained (PT)],89.62940057370895
1,OLMo-2-1124-7B-Instruct [Instruct/chat],112.90974673778167
1,OLMo-7B-Instruct-hf [Instruct/chat],102.38705897111626
1,OLMo-7B-hf [Pretrained (PT)],98.79517955835827
1,OLMoE-1B-7B-0125-Instruct [Instruct/chat],112.83944432146872
1,OLMoE-1B-7B-0924 [Pretrained (PT)],96.03716968120412
1,OLMoE-1B-7B-0924-Instruct [Instruct/chat],101.30480304798616
1,Phi-3-medium-128k-instruct [Instruct/chat],122.29216759711176
1,Phi-3-medium-4k-instruct [Instruct/chat],127.74381429148869
1,Phi-3-mini-128k-instruct [Instruct/chat],121.25212971795722
1,Phi-3-mini-4k-instruct [Instruct/chat],119.04554544310483
1,Phi-3-small-128k-instruct [Instruct/chat],123.74754931770212
1,Phi-3-small-8k-instruct [Instruct/chat],120.5255237465648
1,Phi-3.5-mini-instruct [Instruct/chat],116.9325657322068
1,Phi-4-mini-instruct [Instruct/chat],120.54457952933042
1,Qwen-1.8B-Chat [Instruct/chat],98.61803922914974
1,Qwen-14B-Chat [Instruct/chat],110.48217528428563
1,Qwen-7B-Chat [Instruct/chat],106.77519112586339
1,Qwen1.5-0.5B-Chat [Instruct/chat],73.91057354329541
1,Qwen1.5-1.8B [Base (no official chat academic scores)],102.28612049514543
1,Qwen1.5-1.8B-Chat [Instruct/chat],95.63411951355093
1,Qwen1.5-14B [Base (no official chat academic scores)],112.72753952502974
1,Qwen1.5-14B-Chat [Instruct/chat],105.22582745094343
1,Qwen1.5-32B [Base (no official chat academic scores)],116.17444290700962
1,Qwen1.5-32B-Chat [Instruct/chat],117.66253058645444
1,Qwen1.5-4B [Base (no official chat academic scores)],106.19705904269364
1,Qwen1.5-4B-Chat [Instruct/chat],98.5776882152308
1,Qwen1.5-7B [Base (no official chat academic scores)],110.23715715387824
1,Qwen1.5-7B-Chat [Instruct/chat],103.17787655164497
1,Qwen2-0.5B-Instruct [Instruct/chat],101.04624960823186
1,Qwen2-1.5B-Instruct [Instruct/chat],103.98516851900776
1,Qwen2-7B-Instruct [Instruct/chat],119.49954198178831
1,Qwen2.5-0.5B-Instruct [Instruct/chat],106.47350552525373
1,Qwen2.5-1.5B-Instruct [Instruct/chat],112.33733288826144
1,Qwen2.5-14B-Instruct [Instruct/chat],127.43777399280657
1,Qwen2.5-32B-Instruct [Instruct/chat],129.86083177436183
1,Qwen2.5-3B-Instruct [Instruct/chat],119.16320763627253
1,Qwen2.5-7B-Instruct [Instruct/chat],124.17862446890827
1,Qwen3-0.6B [Non-thinking mode],99.8563272191163
1,Qwen3-0.6B [Thinking mode],113.99089898593729
1,Qwen3-1.7B [Non-thinking mode],115.20083830614655
1,Qwen3-1.7B [Thinking mode],124.02677041831305
1,Qwen3-14B [Non-thinking mode],129.87189847373588
1,Qwen3-14B [Thinking mode],138.20693464805623
1,Qwen3-30B-A3B [Non-thinking mode],129.8017418627227
